"METALLOGENESIS","LOCALITY","STATE","TOPOSHEET","LATITUDE","LONGITUDE","LATDD","LONDD","COMMODITY","HOSTROCK","MORPHOGENESIS","FORMATION"
"BALAGHAT BELT","BALAGHAT","CHATTISGARH","64 C","21 49N","80 10E","21.81666666670","80.16666666670","Manganese","PHYLLITE,QUARTZITE","BEDDED-CONCORDANT","LOHANGI Fm.."
"CHITRADURGA BELT","HARENABALLI","KARNATAKA","57 C","13 19N","76 43E","13.31666666670","76.71666666670","Manganese","METAVOLCANICS-METASEDIMENTS","VOLCANOSEDIMENTARY-BEDDED","BABABUDAN (DHARWAR)"
"CHITRADURGA BELT","HULLIKATTE","KARNATAKA","57 B","14 30N","76 07E","14.50000000000","76.11666666670","Manganese","BFQ,PHYLLITE","VOLCANOSEDIMENTARY-BEDDED","BABABUDAN (DHARWAR)"
"CHITRADURGA BELT","KAREKUCHI","KARNATAKA","57 C","13 20 N","76 42 10 E","13.33333333330","76.70277777780","Manganese","BHQ,METAPELITE,METAVOLCANICS","VOLCANOSEDIMENTARY-BEDDED","BABABUDAN (DHARWAR)"
"EASTERN GHAT BELT","DEVADA","ANDHRA PRADESH","65 N","18 16N","83 33E","18.26666666670","83.55000000000","Manganese","KHONDALITE","SEDIMENTARY-BEDDED","EASTERN GHAT Sgp."
"EASTERN GHAT BELT","GARBHAM","ANDHRA PRADESH","65 N","18 22-18 23N","83 27-83 30E","18.36666666670","83.48333333330","Manganese","KHONDALITE","SEDIMENTARY-BEDDED","EASTERN GHAT Sgp."
"EASTERN GHAT BELT","NISHIKHAL","ORISSA","65 M","19 13N","83 13E","19.21666666670","83.21666666670","Manganese","KHONDALITE","SEDIMENTARY-BEDDED","EASTERN GHAT Sgp."
"GOA Fe - Mn PROVINCE","CODGUI","GOA","48 I","15 30 30N","74 08E","15.50833333330","74.13333333330","Manganese","LATERITE","SUPERGENE ENRICHMENT","DHARWAR Sgp."
"GOA Fe - Mn PROVINCE","COLAMBA","GOA","48 I","15 07-15 09N","74 07 00-42E","15.13333333330","74.11666666670","Manganese","MANGANIFEROUS PHYLLITE","LATERITISED","DHARWAR Sgp."
"GOA Fe - Mn PROVINCE","SULKORNA","GOA","48 I","15 05-06N","74 10-11E","15.00000000000","74.16666666670","Manganese","MANGANIFEROUS PHYLLITE","BEDDED-SEDIMENTARY","DHARWAR Sgp."
"GODAVARI RIFT BELT","PIMPERGUDA-PIMPERKUNTA","ANDHRA PRADESH","56 I","19 44N","78 28E","19.73333333330","78.46666666670","Manganese","LIMESTONE,SHALE,CHERT","BEDDED-SEDIMENTARY","PENGANGA Gp."
"GODAVARI RIFT BELT","PIMPERKUNTA","ANDHRA PRADESH","56 I","19 45N","78 28E","19.75000000000","78.46666666670","Manganese","LIMESTONE,SHALE,CHERT","BEDDED-SEDIMENTARY","PENGANGA Gp."
"JAMDA-KOIRA BELT","KOIRA","ORISSA","73 G","21 54N","85 15E","21.90000000000","85.25000000000","Manganese","SHALE,TUFFACEOUS SHALE","VOLCANOSEDIMENTARY-BEDDED","BONAI Gp."
"NOAMUNDI-JAMDA BELT","KATSAI","ORISSA","73 G","21 50N","85 21E","21.83333333330","85.35000000000","Manganese","TUFFACEOUS SHALE","BEDDED-VOLCANOSEDIMENTARY","BONAI Gp."
"NOAMUNDI-JAMDA SECTOR","ROIDA","ORISSA","73 F","22 01N","85 22","22.01666666670","85.36666666670","Manganese","TUFFACEOUS SHALE","BEDDED-VOLCANOSEDIMENTARY","BONAI Gp."
"NOAMUNDI-JAMDA SECTOR","SARAMDAH-BHADRASAI","ORISSA","73 F","22 03N","85 24E","22.05000000000","85.40000000000","Manganese","TUFFACEOUS SHALE","BEDDED-VOLCANOSEDIMENTARY","BONAI Gp."
