Element,LOCALITY,STATE,TOPOSHEET,LATITUDE,LONGITUDE,COMMODITY,HOSTROCK,MORPHOGENESIS,FORMATION,METALLOGENESIS,LATDD,LONDD
Aluminum,ARAKU,ORISSA,65 J,18 16 18 22N,82 56 82 59E,Bauxite,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,,
Aluminum,KARNAPODIKONDA,ANDHRA PRADESH,65 N,18 48N,83 05E,Bauxite,CAPPING ON GRANULITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,18.8,83.08333333333333
Aluminum,SIJIMALI,ORISSA,65 M,19 30N,83 08E,Bauxite,CAPPING ON KHONDALITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,19.5,83.13333333333334
Aluminum,PANCHPATMALI,ORISSA,65 J & N,18 46 18 55N,82 57 83 04E,Bauxite,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,,
Aluminum,ANAMINI,ORISSA,65 M,19 51N,83 40E,Bauxite,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,19.85,83.66666666666667
Aluminum,BOPHLIMATTI,ORISSA,65 I,19 18 19 22N,82 57 82 59E,Bauxite,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,,
Aluminum,DUMKONDA,ANDHRA PRADESH,65 G,17 42 17 46N,81 51 81 57E,Bauxite,CAPPINGS ON SILLIMANITE GNEISS,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,,
Aluminum,GANDHAMADAN,ORISSA,64 L,20 50 20 55N,82 30 82 45E,Bauxite,CAPPING ON KHONDALITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,,
Aluminum,GUDEM,ORISSA,65 J,17 48 17 51N,82 08 82 10E,Bauxite,CAPPINGS ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,,
Aluminum,GURLIDU,ANDHRA PRADESH,65 G,17 50 17 52N,81 53 81 55E,Bauxite,CAPPING ON SILLIMANITE GNEISS,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,,
Aluminum,KARLAPAT,ORISSA,65 I,19 37 19 41N,83 09 83 11E,Bauxite,CAPPING ON KHONDALITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,,
Aluminum,KATHAKHAL-MANJIMLI,ORISSA,65 M,19 25N,83 06E,Bauxite,CAPPING ON CHARNOKITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,19.416666666666668,83.1
Aluminum,KISANWALI,ORISSA,65 M,19 40N,83 05E,Bauxite,CAPPING ON KHONDALITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,EAST COAST PROVINCE,19.666666666666668,83.08333333333333
